,steps
0,16
1,10
2,17
3,16
4,16
5,17
6,17
7,15
8,15
9,12
10,13
11,16
12,16
13,10
14,19
15,16
16,10
17,15
18,16
19,23
20,15
21,21
22,17
23,14
24,18
25,15
26,16
27,15
28,17
29,22
30,13
31,16
32,18
33,13
34,18
35,11
36,15
37,19
38,15
39,15
40,14
41,10
42,16
43,18
44,10
45,16
46,16
47,16
48,16
49,16
50,16
51,15
52,16
53,11
54,21
55,17
56,13
57,16
58,16
59,15
60,14
61,16
62,13
63,18
64,19
65,14
66,19
67,15
68,22
69,20
70,18
71,13
72,16
73,13
74,16
75,16
76,14
77,22
78,10
79,12
80,11
81,16
82,14
83,10
84,15
85,13
86,16
87,20
88,11
89,15
90,17
