,steps
799,26
800,20
801,36
802,31
803,20
804,25
805,24
806,26
807,28
808,16
809,18
810,30
811,27
812,22
813,28
814,28
815,32
816,29
817,31
818,35
819,21
820,25
821,20
822,35
823,29
824,46
825,37
826,38
827,24
828,23
829,28
830,18
831,21
832,39
833,26
834,27
835,35
836,36
837,38
838,41
839,29
840,34
841,32
842,19
843,19
844,27
845,30
846,21
847,43
848,24
849,24
850,35
851,17
852,26
853,25
854,21
855,19
856,22
857,19
858,24
859,29
860,34
861,28
862,40
863,36
864,50
865,20
866,45
867,26
868,21
869,17
870,34
871,45
872,36
873,21
874,23
875,25
876,22
877,20
878,27
879,18
880,23
881,26
882,44
883,32
884,23
885,17
886,31
887,18
888,25
889,20
890,26
891,24
892,30
893,23
894,35
895,48
896,37
897,39
898,29
899,28
900,53
901,34
902,24
903,26
904,27
905,24
906,50
907,19
908,20
909,30
910,26
911,24
912,35
913,19
914,26
915,26
916,29
917,21
918,40
919,21
920,44
921,30
922,24
923,31
924,41
925,37
926,23
927,45
928,25
929,31
930,33
931,31
932,27
933,48
934,24
935,24
936,29
937,17
938,44
939,32
940,33
941,23
942,33
943,19
944,24
945,17
946,27
947,26
948,49
949,29
950,23
951,46
952,29
953,24
954,32
955,20
956,27
957,29
958,19
959,53
960,26
