,steps
0,82
1,36
2,32
3,63
4,28
5,31
6,100
7,72
8,38
9,58
10,38
11,30
12,73
13,59
14,24
15,35
16,31
17,95
18,31
19,25
20,44
21,39
22,40
23,26
24,37
25,50
26,27
27,32
28,100
29,27
30,69
31,63
32,21
33,56
34,44
35,100
36,40
37,58
38,72
39,33
40,33
41,90
42,25
43,76
44,29
45,41
46,42
47,28
48,53
49,45
50,26
51,38
52,58
53,40
54,47
55,72
56,68
57,58
58,27
59,66
60,100
61,80
62,33
63,38
64,47
65,37
66,59
67,45
68,100
69,45
70,41
71,35
72,63
73,28
74,51
75,72
76,61
77,54
78,36
79,76
80,61
81,22
82,100
83,27
84,27
85,79
86,29
87,34
88,30
89,18
90,25
91,38
92,32
93,38
94,45
95,72
96,35
97,98
98,19
99,45
100,35
101,44
102,47
103,38
104,46
105,100
106,31
107,100
108,50
109,80
110,100
111,80
112,58
113,99
114,92
115,81
116,45
117,41
118,100
119,100
120,33
121,21
122,100
123,100
124,28
125,51
126,30
127,100
128,35
129,20
130,34
131,54
132,51
133,39
134,42
135,18
136,74
137,43
138,59
139,47
140,32
141,54
142,61
143,31
144,47
145,42
146,25
147,35
148,26
149,48
150,58
151,64
152,90
153,44
154,100
155,100
156,24
157,33
158,77
159,26
160,35
161,49
162,85
163,74
164,52
165,38
166,54
167,43
168,41
169,27
170,15
171,57
172,100
173,32
174,42
175,52
176,70
177,50
178,56
179,31
180,51
181,100
182,24
183,30
184,51
185,20
186,44
187,56
188,25
189,35
190,64
191,45
192,33
193,26
194,66
195,84
196,94
197,44
198,29
199,40
200,57
201,58
202,25
203,82
204,21
205,83
206,49
207,98
208,50
209,16
210,41
211,35
212,47
213,25
214,44
215,41
216,98
217,31
218,26
219,100
220,22
221,28
222,31
223,45
224,80
225,51
226,37
227,26
228,23
229,20
230,60
231,31
232,40
233,46
234,41
235,48
236,100
237,43
238,51
239,55
240,52
241,53
242,79
243,49
244,35
245,79
246,53
247,87
248,85
249,32
250,58
251,74
252,59
253,53
254,81
255,85
256,27
257,49
258,40
259,50
260,46
261,53
262,32
263,32
264,34
265,66
266,21
267,93
268,29
269,100
270,100
271,49
272,25
273,26
274,56
275,69
276,28
277,46
278,59
279,40
280,47
281,80
282,37
283,61
284,33
285,44
286,64
287,49
288,62
289,30
290,17
291,50
292,48
293,66
294,45
295,45
296,51
297,39
298,20
299,32
300,62
301,21
302,54
303,100
304,41
305,77
306,30
307,54
308,32
309,47
310,50
311,45
312,38
313,80
314,100
315,24
316,22
317,33
318,57
319,61
320,20
321,46
322,48
323,35
324,27
325,81
326,31
327,29
328,40
329,44
330,26
331,28
332,91
333,39
334,76
335,56
336,32
337,52
338,40
339,66
340,65
341,31
342,30
343,37
344,73
345,48
346,23
347,27
348,74
349,42
350,37
351,29
352,95
353,22
354,43
355,29
356,26
357,48
358,63
359,50
360,62
361,100
362,59
363,29
364,64
365,68
366,40
367,50
368,21
369,86
370,26
371,19
372,53
373,36
374,67
375,15
376,53
377,55
378,49
379,60
380,23
381,31
382,74
383,65
384,59
385,85
386,87
387,56
388,15
389,65
390,47
391,67
392,85
393,35
394,53
395,32
396,29
397,38
398,29
399,30
400,30
401,28
402,100
403,60
404,33
405,45
406,49
407,66
408,32
409,51
410,40
411,36
412,33
413,56
414,50
415,48
416,23
417,37
418,34
419,28
420,38
421,34
422,28
423,39
424,47
425,47
426,31
427,28
428,40
429,47
430,65
431,63
432,38
433,36
434,46
435,61
436,36
437,66
438,54
439,41
440,81
441,47
442,53
443,41
444,38
445,39
446,67
447,48
448,21
449,45
450,32
451,24
452,73
453,34
454,31
455,62
456,29
457,52
458,52
459,80
460,38
461,100
462,57
463,100
464,51
465,56
466,31
467,81
468,46
469,46
470,53
471,100
472,81
473,39
474,100
475,60
476,61
477,66
478,60
479,66
480,35
481,39
482,36
483,31
484,22
485,25
486,34
487,31
488,74
489,31
490,40
491,32
492,34
493,48
494,48
495,70
496,78
497,63
498,58
499,58
500,48
501,30
502,35
503,21
504,50
505,100
506,32
507,67
508,66
509,45
510,30
511,61
512,58
513,20
514,38
515,52
516,42
517,29
518,59
519,60
520,38
521,72
522,16
523,43
524,56
525,62
526,43
527,42
