,steps
528,47
529,48
530,26
531,40
532,70
533,26
534,24
535,37
536,51
537,47
538,30
539,54
540,82
541,45
542,31
543,32
544,41
545,32
546,36
547,22
548,70
549,55
550,55
551,25
552,67
553,100
554,71
555,49
556,100
557,32
558,54
559,37
560,34
561,46
562,45
563,29
564,29
565,48
566,16
567,47
568,53
569,28
570,90
571,52
572,27
573,38
574,31
575,65
576,35
577,32
578,54
579,100
580,23
581,55
582,35
583,44
584,45
585,32
586,23
587,44
588,51
589,36
590,27
591,20
592,23
593,73
594,52
595,35
596,34
597,53
598,33
599,60
600,73
601,41
602,27
603,72
604,76
605,26
606,25
607,22
608,38
609,73
610,81
611,52
612,36
613,82
614,27
615,30
616,59
617,78
618,30
619,58
620,36
621,57
622,32
623,67
624,25
625,35
626,31
627,44
628,26
629,35
630,45
631,51
632,42
633,40
634,37
635,26
636,79
637,38
638,51
639,48
640,52
641,36
642,35
643,51
644,46
645,67
646,20
647,53
648,59
649,34
650,22
651,42
652,25
653,52
654,18
655,41
656,22
657,58
658,41
659,28
660,32
661,31
662,34
663,31
664,37
665,30
666,44
667,29
668,76
669,35
670,35
671,48
672,40
673,55
674,39
675,65
676,26
677,51
678,50
679,28
680,36
681,29
682,36
683,49
684,54
685,47
686,28
687,64
688,57
689,33
690,32
691,45
692,44
693,31
694,42
695,44
696,36
697,21
698,50
699,60
700,63
701,39
702,44
703,34
704,100
705,26
706,53
707,67
708,34
709,22
710,31
711,28
712,65
713,42
714,36
715,27
716,58
717,44
718,52
719,100
720,45
721,36
722,100
723,64
724,41
725,68
726,37
727,68
728,26
729,55
730,23
731,38
732,22
733,30
734,33
735,49
736,50
737,40
738,48
739,22
740,93
741,95
742,37
743,20
744,35
745,53
746,46
747,35
748,44
749,40
750,38
751,33
752,50
753,47
754,23
755,33
756,30
757,31
758,39
759,38
760,36
761,36
762,48
763,31
764,28
765,28
766,22
767,27
768,55
769,28
770,83
771,31
772,42
773,36
774,27
775,26
776,21
777,52
778,25
779,77
780,41
781,30
782,35
783,42
784,38
785,58
786,37
787,18
788,45
789,28
790,33
791,20
792,50
793,48
794,59
795,41
796,23
797,48
798,27
799,35
800,32
801,41
802,41
803,31
804,48
805,40
806,94
807,46
808,66
809,52
810,40
811,28
812,43
813,20
814,32
815,37
816,31
817,34
818,33
819,37
820,56
821,40
822,33
823,38
824,35
825,36
826,33
827,65
828,45
829,65
830,24
831,36
832,28
833,89
834,38
835,43
836,56
837,15
838,40
839,34
840,33
841,46
842,41
843,40
844,33
845,37
846,69
847,26
848,57
849,42
850,63
851,25
852,27
853,17
854,37
855,59
856,27
857,51
858,23
859,20
860,79
861,33
862,23
863,29
864,58
865,46
866,32
867,31
868,40
869,69
870,45
871,39
872,100
873,18
874,37
875,75
876,50
877,30
878,23
879,25
880,38
881,42
882,25
883,28
884,71
885,46
886,36
887,61
888,45
889,28
890,68
891,33
892,18
893,44
894,23
895,20
896,52
897,35
898,22
899,44
900,51
901,36
902,53
903,25
904,28
905,38
906,25
907,37
908,35
909,21
910,26
911,40
912,80
913,49
914,15
915,28
916,64
917,67
918,21
919,33
920,45
921,33
922,45
923,37
924,22
925,19
926,25
927,23
928,59
929,31
930,42
931,53
932,31
933,43
934,46
935,47
936,25
937,35
938,64
939,33
940,22
941,28
942,42
943,28
944,27
945,25
946,99
947,30
948,42
949,31
950,48
951,41
952,43
953,21
954,21
955,36
956,49
957,57
958,28
959,56
960,37
961,34
962,45
963,37
964,58
965,35
966,26
967,21
968,32
969,21
970,48
971,55
972,62
973,27
974,25
975,39
976,26
977,47
978,67
979,33
980,29
981,32
982,46
983,44
984,100
985,32
986,37
987,43
988,27
989,35
990,49
991,27
992,58
993,56
994,53
995,40
996,61
997,29
998,39
999,64
1000,28
1001,22
1002,45
1003,28
1004,37
1005,35
1006,32
1007,32
1008,51
1009,27
1010,62
1011,30
1012,27
1013,41
1014,27
1015,37
1016,46
1017,30
1018,39
1019,100
1020,18
1021,42
1022,29
1023,25
1024,28
1025,31
1026,31
1027,21
1028,31
1029,27
1030,50
1031,35
1032,46
1033,43
1034,29
1035,59
1036,28
1037,25
1038,40
1039,61
1040,20
1041,52
1042,35
1043,78
1044,33
1045,21
1046,49
1047,69
1048,29
1049,32
1050,41
1051,62
1052,49
1053,40
1054,35
1055,27
1056,36
1057,20
1058,40
1059,30
1060,27
1061,32
1062,100
1063,25
1064,45
1065,38
1066,28
1067,30
1068,31
1069,26
1070,43
1071,44
1072,40
1073,42
1074,39
1075,47
1076,25
1077,47
1078,30
1079,32
1080,54
1081,21
1082,40
1083,22
1084,53
1085,32
1086,27
1087,25
1088,22
1089,26
1090,23
1091,29
1092,33
1093,17
1094,34
1095,22
1096,44
1097,74
1098,29
1099,26
1100,28
1101,41
1102,44
1103,29
1104,33
1105,41
1106,23
1107,41
1108,27
1109,27
1110,28
1111,26
1112,33
1113,27
1114,26
1115,59
1116,33
1117,31
1118,77
1119,51
1120,25
1121,27
1122,32
1123,39
1124,35
1125,20
1126,44
1127,52
1128,50
1129,53
1130,35
1131,23
1132,17
1133,36
1134,43
1135,27
1136,27
1137,18
1138,52
1139,26
1140,38
1141,28
1142,37
1143,58
1144,41
1145,21
1146,43
1147,60
1148,40
1149,38
1150,33
1151,40
1152,39
1153,25
1154,40
1155,27
1156,69
1157,20
1158,38
1159,36
1160,26
1161,21
1162,65
1163,22
1164,35
1165,32
1166,22
1167,23
1168,25
1169,30
1170,27
1171,34
1172,25
1173,34
1174,29
1175,18
1176,24
1177,23
1178,27
1179,27
1180,27
1181,62
1182,27
1183,28
1184,47
1185,36
1186,22
1187,29
1188,29
1189,33
1190,37
1191,20
1192,21
1193,35
1194,45
1195,47
1196,33
1197,22
1198,34
1199,22
1200,28
1201,24
1202,30
1203,27
1204,12
1205,38
1206,51
1207,22
1208,24
1209,27
1210,28
1211,24
1212,23
1213,22
1214,20
1215,48
1216,22
1217,19
1218,21
1219,23
1220,29
1221,43
1222,28
1223,33
1224,23
1225,54
1226,35
1227,20
1228,36
1229,35
1230,38
1231,28
1232,24
1233,20
1234,34
1235,23
1236,17
1237,28
1238,29
1239,37
1240,34
1241,28
1242,26
1243,12
1244,48
1245,27
1246,22
1247,59
1248,44
1249,23
1250,28
1251,41
1252,73
1253,34
1254,28
1255,48
1256,32
1257,32
1258,21
1259,27
1260,41
1261,20
1262,20
1263,25
1264,38
1265,23
1266,33
1267,27
1268,63
1269,18
1270,23
1271,20
1272,21
1273,29
1274,36
1275,77
1276,40
1277,48
1278,29
1279,35
1280,20
1281,36
1282,32
1283,52
1284,32
1285,30
1286,35
1287,32
1288,35
1289,45
1290,22
1291,28
1292,37
1293,21
1294,43
1295,35
1296,44
1297,15
1298,33
1299,12
1300,27
1301,39
1302,25
1303,31
1304,29
1305,52
1306,23
1307,15
1308,35
1309,21
1310,25
1311,29
1312,38
1313,35
1314,35
1315,65
1316,25
1317,28
1318,65
1319,42
1320,28
