,score
0,-20.5
1,88.5
2,103.0
3,90.5
4,208.0
5,252.0
6,162.0
7,127.0
8,179.0
9,190.5
10,147.5
11,207.0
12,210.0
13,142.5
14,143.0
15,78.0
16,152.5
17,189.0
18,162.0
19,165.0
20,202.5
21,132.0
22,91.0
23,84.5
24,127.0
25,137.0
26,198.5
27,131.0
28,203.0
29,129.5
30,175.5
31,138.5
32,141.0
33,177.0
34,112.0
35,121.0
36,175.0
37,208.5
38,189.5
39,127.5
40,194.5
41,171.5
42,208.5
43,182.5
44,123.5
45,241.5
46,174.0
47,122.5
48,139.0
49,143.5
50,104.0
51,138.5
52,235.5
53,144.0
54,159.0
55,166.0
56,120.5
57,200.0
58,252.0
59,187.5
60,176.5
61,145.0
62,171.0
63,186.5
64,169.0
65,150.0
66,226.5
67,238.5
68,120.0
69,185.5
70,182.0
71,85.0
72,115.0
73,97.5
74,109.5
75,157.5
76,92.5
77,211.5
78,87.5
79,153.5
80,152.5
81,158.0
82,253.5
83,199.5
84,185.5
85,195.0
86,162.5
87,225.0
88,172.5
89,111.0
90,213.5
