,score
644,-284
645,-236
646,-324
647,-258
648,-282
649,-246
650,-312
651,-150
652,72
653,-282
654,-408
655,-56
656,-286
657,-78
658,-316
659,-84
660,-374
661,-138
662,-240
663,-282
664,-336
665,-122
666,-302
667,-592
668,-340
669,-238
670,-294
671,-248
672,-200
673,-210
674,-322
675,-338
676,-314
677,-222
678,-382
679,-398
680,-272
681,-332
682,-320
683,-278
684,-314
685,-28
686,-312
687,-252
688,-246
689,-284
690,-222
691,-138
692,-658
693,-364
694,-276
695,-402
696,-116
697,-120
698,-358
699,-158
700,-340
701,-116
702,-242
703,-218
704,-272
705,-84
706,-338
707,-278
708,-110
709,-386
710,-250
711,-62
712,-428
713,-178
714,-392
715,-334
716,-244
717,-262
718,-240
719,-300
720,-132
721,-138
722,16
723,-374
724,-296
725,-314
726,-238
727,-310
728,-688
729,-230
730,-92
731,-280
732,-180
733,-276
734,-228
735,-348
736,-230
737,-156
738,-236
739,-364
740,-150
741,-414
742,-364
743,-334
744,-250
745,-192
746,-92
747,-272
748,-280
749,-312
750,-62
751,-282
752,-204
753,-268
754,-282
755,-612
756,-382
757,-60
758,-290
759,-356
760,-314
761,-398
762,-286
763,-426
764,-366
765,-198
766,-384
767,-650
768,-366
769,-328
770,-212
771,-360
772,-172
773,-372
774,-204
775,-178
776,-380
777,-88
778,-370
779,-372
780,-380
781,-174
782,-202
783,-218
784,-340
785,-94
786,-420
787,-114
788,-698
789,-566
790,-382
791,-218
792,-260
793,-340
794,-232
795,-68
796,-336
797,-418
798,-318
799,-324
800,-300
801,-200
802,-180
803,-334
804,-230
805,-168
806,-168
807,-282
808,-426
809,-382
810,-338
811,-254
812,-322
813,-238
814,-236
815,-190
816,-224
817,-276
818,-188
819,-338
820,-300
821,-364
822,-264
823,-286
824,-28
825,-122
826,-186
827,-306
828,-314
829,-252
830,-394
831,-342
832,-194
833,-330
834,-204
835,-190
836,-104
837,-144
838,-108
839,-248
840,-204
841,-240
842,-390
843,-358
844,-284
845,-628
846,-416
847,-2
848,-310
849,-260
850,-304
851,-394
852,-248
853,-292
854,-288
855,-382
856,-324
857,-402
858,-316
859,-212
860,-228
861,-186
862,-118
863,-208
864,-48
865,-392
866,-154
867,-242
868,-340
869,-418
870,-198
871,-56
872,-234
873,-322
874,-340
875,-268
876,-330
877,-400
878,-342
879,-426
880,-344
881,-272
882,-46
883,-152
884,-370
885,-432
886,-252
887,-424
888,-178
889,-402
890,-368
891,-250
892,-216
893,-296
894,-246
895,-398
896,2
897,-10
898,-336
899,-176
900,-60
901,-222
902,-284
903,-226
904,-224
905,-304
906,64
907,-384
908,-344
909,-166
910,-298
911,-362
912,-110
913,-806
914,-284
915,-380
916,-222
917,-368
918,-68
919,-392
920,-80
921,-224
922,-304
923,-230
924,-72
925,-86
926,-354
927,-90
928,-746
929,-214
930,-210
931,-230
932,-732
933,110
934,-262
935,-330
936,-274
937,-366
938,-80
939,-206
940,-32
941,-354
942,-172
943,-336
944,-270
945,-764
946,-350
947,-286
948,-154
949,-330
950,-304
951,-138
952,-278
953,-274
954,-218
955,-400
956,-302
957,-226
958,-346
959,-136
960,-358
