,score
0,515.0
1,415.0
2,410.0
3,530.0
4,415.0
5,295.0
6,415.0
7,395.0
8,520.0
9,400.0
10,280.0
11,515.0
12,505.0
13,400.0
14,410.0
15,405.0
16,520.0
17,515.0
18,515.0
19,290.0
20,515.0
21,395.0
22,505.0
23,510.0
24,400.0
25,290.0
26,425.0
27,530.0
28,410.0
29,430.0
30,510.0
31,395.0
32,405.0
33,530.0
34,520.0
35,425.0
36,520.0
37,530.0
38,490.0
39,525.0
40,530.0
41,315.0
42,525.0
43,525.0
44,385.0
45,400.0
46,525.0
47,410.0
48,500.0
49,400.0
50,400.0
51,405.0
52,295.0
53,420.0
54,300.0
55,515.0
56,495.0
57,300.0
58,180.0
59,405.0
60,420.0
61,395.0
62,525.0
63,405.0
64,400.0
65,390.0
66,295.0
67,315.0
68,395.0
69,425.0
70,315.0
71,515.0
72,395.0
73,520.0
74,535.0
75,385.0
76,505.0
77,515.0
78,505.0
79,405.0
80,405.0
81,395.0
82,400.0
83,400.0
84,510.0
85,510.0
86,315.0
87,405.0
88,525.0
89,400.0
90,395.0
91,395.0
92,285.0
93,410.0
94,530.0
95,400.0
96,395.0
97,410.0
98,530.0
99,420.0
100,310.0
101,405.0
102,415.0
103,430.0
104,520.0
105,405.0
106,285.0
107,285.0
108,520.0
109,510.0
110,290.0
111,405.0
112,300.0
113,510.0
114,395.0
115,510.0
116,510.0
117,400.0
118,535.0
119,175.0
120,535.0
121,415.0
122,395.0
123,510.0
124,420.0
125,400.0
126,510.0
127,395.0
128,285.0
129,525.0
130,315.0
131,400.0
132,300.0
133,400.0
134,510.0
135,395.0
136,285.0
137,520.0
138,525.0
139,505.0
140,420.0
141,415.0
142,420.0
143,415.0
144,420.0
145,405.0
146,520.0
147,510.0
148,405.0
149,500.0
150,295.0
