,score
0,-73.0
1,-44.0
2,-53.5
3,-29.0
4,-25.0
5,-20.0
6,-23.0
7,-36.5
8,-36.0
9,-39.0
10,-81.0
11,-20.5
12,-18.0
13,-88.5
14,-18.5
15,-20.5
16,-47.0
17,-24.5
18,-37.0
19,-8.5
20,-26.0
21,-18.0
22,-22.0
23,-30.5
24,-7.0
25,-36.0
26,-26.0
27,-25.5
28,-16.5
29,-11.5
30,-34.5
31,-75.0
32,-21.0
33,-31.0
34,-11.0
35,-41.0
36,-68.5
37,-26.5
38,-31.0
39,-32.5
40,-40.5
41,-42.5
42,-15.5
43,-21.0
44,-47.5
45,-65.0
46,-22.5
47,-74.5
48,-24.5
49,-26.5
50,-24.0
51,-18.0
52,-20.5
53,-44.5
54,-6.5
55,-22.0
56,-34.5
57,-75.0
58,-74.0
59,-33.0
60,-33.0
61,-33.0
62,-33.5
63,-18.5
64,-4.0
65,-40.0
66,-17.0
67,-27.0
68,-18.0
69,-25.0
70,-22.0
71,-34.5
72,-34.0
73,-36.0
74,-35.0
75,-68.0
76,-69.5
77,-2.5
78,-48.0
79,-36.0
80,-40.0
81,-70.0
82,-26.5
83,-48.0
84,-23.5
85,-41.5
86,-72.5
87,-12.0
88,-43.0
89,-30.5
90,-6.0
