,score
456,-532.5
457,-540.0
458,-872.5
459,-475.0
460,-550.0
461,-427.5
462,-470.0
463,-590.0
464,-517.5
465,-515.0
466,-987.5
467,-615.0
468,-480.0
469,-515.0
470,-612.5
471,-550.0
472,-555.0
473,-597.5
474,-505.0
475,-515.0
476,-582.5
477,-565.0
478,-450.0
479,-472.5
480,-450.0
481,-547.5
482,-530.0
483,-590.0
484,-622.5
485,-505.0
486,-612.5
487,-615.0
488,-590.0
489,-532.5
490,-590.0
491,-552.5
492,-592.5
493,-542.5
494,-597.5
495,-602.5
496,-582.5
497,-570.0
498,-520.0
499,-597.5
500,-587.5
501,-462.5
502,-557.5
503,-1022.5
504,-587.5
505,-550.0
506,-650.0
507,-575.0
508,-977.5
509,-590.0
510,-575.0
511,-522.5
512,-547.5
513,-517.5
514,-605.0
515,-630.0
516,-595.0
517,-595.0
518,-625.0
519,-595.0
520,-430.0
521,-550.0
522,-597.5
523,-597.5
524,-632.5
525,-565.0
526,-560.0
527,-537.5
528,-627.5
529,-515.0
530,-372.5
531,-527.5
532,-1000.0
533,-937.5
534,-945.0
535,-495.0
536,-567.5
537,-375.0
538,-460.0
539,-607.5
540,-492.5
541,-622.5
542,-585.0
543,-590.0
544,-562.5
545,-545.0
546,-437.5
547,-482.5
548,-587.5
549,-587.5
550,-555.0
551,-552.5
552,-590.0
553,-565.0
554,-527.5
555,-497.5
556,-617.5
557,-502.5
558,-495.0
559,-595.0
560,-520.0
561,-955.0
562,-412.5
563,-567.5
564,-472.5
565,-562.5
566,-482.5
567,-425.0
568,-502.5
569,-597.5
570,-497.5
571,-367.5
572,-487.5
573,-455.0
574,-492.5
575,-570.0
576,-472.5
577,-512.5
578,-395.0
579,-615.0
580,-627.5
581,-595.0
582,-522.5
583,-520.0
584,-470.0
585,-590.0
586,-550.0
587,-600.0
588,-560.0
589,-482.5
590,-565.0
591,-545.0
592,-597.5
593,-507.5
594,-490.0
595,-982.5
596,-505.0
597,-610.0
598,-540.0
599,-612.5
600,-952.5
601,-610.0
602,-550.0
603,-617.5
604,-560.0
605,-570.0
606,-547.5
607,-480.0
608,-557.5
609,-485.0
610,-465.0
611,-540.0
612,-627.5
613,-565.0
614,-557.5
615,-970.0
616,-460.0
617,-637.5
618,-555.0
619,-515.0
620,-560.0
621,-567.5
622,-450.0
623,-595.0
624,-605.0
625,-430.0
626,-505.0
627,-510.0
628,-602.5
629,-545.0
630,-572.5
