,score
495,6.5
496,35.0
497,9.5
498,45.5
499,33.5
500,13.0
501,5.0
502,-25.5
503,-29.0
504,-2.0
505,96.5
506,-23.5
507,60.5
508,55.5
509,24.0
510,-40.5
511,13.5
512,21.5
513,-55.0
514,12.0
515,30.0
516,23.5
517,-27.0
518,10.5
519,23.0
520,3.0
521,66.5
522,-46.0
523,12.0
524,53.5
525,84.5
526,-20.0
527,-12.0
528,6.5
529,-8.5
530,-36.0
531,0.5
532,64.5
533,-26.5
534,-48.5
535,7.0
536,-18.5
537,60.0
538,5.5
539,-4.0
540,5.5
541,-6.5
542,-1.0
543,6.0
544,-7.0
545,-11.5
546,12.0
547,-36.0
548,66.0
549,10.0
550,-10.0
551,-34.0
552,60.0
553,178.0
554,17.0
555,24.0
556,114.0
557,-5.0
558,28.5
559,-12.5
560,-28.0
561,-3.0
562,44.0
563,-15.5
564,-33.0
565,46.5
566,-47.5
567,30.0
568,14.0
569,-42.5
570,53.5
571,25.5
572,-15.0
573,13.0
574,-37.5
575,7.0
576,-30.0
577,-11.0
578,10.0
579,67.5
580,-2.0
581,19.0
582,-14.5
583,8.0
584,14.5
585,-21.0
586,-34.0
587,5.0
588,4.0
589,24.0
590,-20.5
591,-43.5
592,-48.0
593,28.0
594,32.0
595,-15.5
596,-17.0
597,-8.0
598,-10.5
599,49.5
600,38.0
601,9.5
602,-27.5
603,47.0
604,24.0
605,-42.0
606,-43.0
607,-44.5
608,-4.5
609,82.0
610,54.5
611,-8.5
612,2.0
613,55.5
614,-24.5
615,-12.0
616,6.5
617,36.0
618,-2.0
619,46.5
620,-34.0
621,56.5
622,-20.5
623,48.0
624,-33.0
625,8.0
626,-19.0
627,30.5
628,-17.5
629,18.5
630,18.5
631,-11.5
632,-2.0
633,-5.0
634,-17.0
635,-14.5
636,24.0
637,19.0
638,18.5
639,12.5
640,1.5
641,10.0
642,-10.5
643,25.0
644,5.5
645,-6.0
646,-35.5
647,23.5
648,34.5
649,-30.0
650,-49.5
651,-15.5
652,-21.5
653,33.0
654,-41.0
655,5.5
656,-32.5
657,13.5
658,11.5
659,-35.0
660,-7.5
661,-18.0
662,-16.5
663,-31.5
664,24.5
665,-3.0
666,-3.0
